Category,Greenlee
Total_doses_administered,8301
Total_people_one_dose,4702
Total_people_complete,4188
Total_doses_ordered,9800
total_pouluation,10375
Male-65 years and older,540
Male-55-64 years,588
Male-45-54 years,484
Male-20-44 years,989
Male-Less than 20 years,46
Female-65 years and older,517
Female-55-64 years,405
Female-45-54 years,364
Female-20-44 years,723
Female-Less than 20 years,44
"Black or African American, non-Hispanic",44
"Asian or Pacific Islander, non-Hispanic",48
"American Indian or Alaska Native, non-Hispanic",83
Other Race,126
Unknown,376
"White, non-Hispanic",1945
Hispanic or Latino,2080
