,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,4888954,1415994,15673,82939,118161,38444,14991,7808,14391,1792924,104530,42417,661044,205155,42050,151897,133292
Total_people_one_dose,2880130,805542,9055,50107,66356,22458,8927,4443,8351,1100145,65127,25529,393443,124517,25759,89568,80803
Total_people_complete,2186715,,,,,,,,,,,,,,,,
Total_doses_ordered,4643380,,,,,,,,,,,,,,,,
65 years and older,572270,,,,,,,,,,,,,,,,
55-64 years,286541,,,,,,,,,,,,,,,,
45-54 years,210289,,,,,,,,,,,,,,,,
20-44 years,441124,,,,,,,,,,,,,,,,
Less than 20 years,48740,,,,,,,,,,,,,,,,
65 years and older,65127,,,,,,,,,,,,,,,,
55-64 years,237966,,,,,,,,,,,,,,,,
45-54 years,181531,,,,,,,,,,,,,,,,
20-44 years,390665,,,,,,,,,,,,,,,,
Less than 20 years,41734,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",64140,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",67610,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",105827,,,,,,,,,,,,,,,,
Hispanic or Latino,365447,,,,,,,,,,,,,,,,
Unknown,392621,,,,,,,,,,,,,,,,
Other Race,493121,,,,,,,,,,,,,,,,
"White, non-Hispanic",1391364,,,,,,,,,,,,,,,,
