Category,Greenlee
Total_doses_administered,7808
Total_people_one_dose,4443
Total_people_complete,3748
Total_doses_ordered,9800
total_pouluation,10375
Male-65 years and older,521
Male-55-64 years,557
Male-45-54 years,451
Male-20-44 years,904
Male-Less than 20 years,39
Female-65 years and older,504
Female-55-64 years,398
Female-45-54 years,354
Female-20-44 years,675
Female-Less than 20 years,38
"Black or African American, non-Hispanic",0.0092279990997074
"Asian or Pacific Islander, non-Hispanic",0.0101282916948008
"American Indian or Alaska Native, non-Hispanic",0.0171055593067747
Other Race,0.0193562907945082
Unknown,0.0853027233851002
"White, non-Hispanic",0.4152599594868332
Hispanic or Latino,0.4436191762322755
