Category,La Paz
Total_doses_administered,17849
Total_people_one_dose,8893
Total_people_complete,7519
total_pouluation,8893
Male-65 years and older,2402
Male-55-64 years,610
Male-45-54 years,327
Male-20-44 years,669
Male-Less than 20 years,364
Female-65 years and older,2430
Female-55-64 years,735
Female-45-54 years,372
Female-20-44 years,598
Female-Less than 20 years,368
"Black or African American, non-Hispanic",39
"Asian or Pacific Islander, non-Hispanic",89
"American Indian or Alaska Native, non-Hispanic",526
Other Race,1171
Hispanic or Latino,1334
Unknown,1830
"White, non-Hispanic",3904
