Category,Pima
Total_doses_administered,1543485
Total_people_one_dose,723790
Total_people_complete,626142
total_pouluation,723790
Male-65 years and older,91599
Male-55-64 years,48036
Male-45-54 years,41319
Male-20-44 years,110742
Male-Less than 20 years,42758
Female-65 years and older,117849
Female-55-64 years,57517
Female-45-54 years,46863
Female-20-44 years,121692
Female-Less than 20 years,43949
"American Indian or Alaska Native, non-Hispanic",15088
"Black or African American, non-Hispanic",16354
"Asian or Pacific Islander, non-Hispanic",21813
Unknown,65749
Other Race,90732
Hispanic or Latino,174642
"White, non-Hispanic",339412
