Category,Coconino
Total_doses_administered,201255
Total_people_one_dose,94132
Total_people_complete,81557
total_pouluation,94132
Male-65 years and older,9394
Male-55-64 years,6335
Male-45-54 years,5782
Male-20-44 years,17077
Male-Less than 20 years,5998
Female-65 years and older,10572
Female-55-64 years,7116
Female-45-54 years,5864
Female-20-44 years,19476
Female-Less than 20 years,6251
"Black or African American, non-Hispanic",779
"Asian or Pacific Islander, non-Hispanic",1622
Hispanic or Latino,7080
Other Race,8635
Unknown,12630
"American Indian or Alaska Native, non-Hispanic",22432
"White, non-Hispanic",40954
