Category,Mohave
Total_doses_administered,182560
Total_people_one_dose,89710
Total_people_complete,76157
total_pouluation,89710
Male-65 years and older,20843
Male-55-64 years,8199
Male-45-54 years,4266
Male-20-44 years,7459
Male-Less than 20 years,1766
Female-65 years and older,23010
Female-55-64 years,9550
Female-45-54 years,4822
Female-20-44 years,7644
Female-Less than 20 years,1973
"Black or African American, non-Hispanic",611
"American Indian or Alaska Native, non-Hispanic",731
"Asian or Pacific Islander, non-Hispanic",1352
Hispanic or Latino,7117
Unknown,11514
Other Race,14343
"White, non-Hispanic",54042
