Category,Yavapai
Total_doses_administered,243234
Total_people_one_dose,116853
Total_people_complete,98610
total_pouluation,116853
Male-65 years and older,25807
Male-55-64 years,9155
Male-45-54 years,5040
Male-20-44 years,10175
Male-Less than 20 years,2882
Female-65 years and older,31476
Female-55-64 years,11602
Female-45-54 years,5993
Female-20-44 years,10423
Female-Less than 20 years,3149
"Black or African American, non-Hispanic",552
"American Indian or Alaska Native, non-Hispanic",1425
"Asian or Pacific Islander, non-Hispanic",1426
Hispanic or Latino,8050
Other Race,17196
Unknown,18985
"White, non-Hispanic",69219
