Category,Maricopa
Total_doses_administered,5516092
Total_people_one_dose,2632351
Total_people_complete,2297691
total_pouluation,2632351
Male-65 years and older,284740
Male-55-64 years,187982
Male-45-54 years,182401
Male-20-44 years,436168
Male-Less than 20 years,145474
Female-65 years and older,355894
Female-55-64 years,211570
Female-45-54 years,197787
Female-20-44 years,467286
Female-Less than 20 years,148587
"American Indian or Alaska Native, non-Hispanic",51476
"Black or African American, non-Hispanic",101665
"Asian or Pacific Islander, non-Hispanic",133041
Unknown,176114
Other Race,426324
Hispanic or Latino,440975
"White, non-Hispanic",1302756
