Category,Graham
Total_doses_administered,43323
Total_people_one_dose,21017
Total_people_complete,18477
total_pouluation,21017
Male-65 years and older,2396
Male-55-64 years,1582
Male-45-54 years,1440
Male-20-44 years,3567
Male-Less than 20 years,1140
Female-65 years and older,2906
Female-55-64 years,1722
Female-45-54 years,1420
Female-20-44 years,3606
Female-Less than 20 years,1226
"Asian or Pacific Islander, non-Hispanic",84
"Black or African American, non-Hispanic",93
Other Race,1299
Hispanic or Latino,3789
Unknown,4100
"American Indian or Alaska Native, non-Hispanic",5199
"White, non-Hispanic",6453
