Category,Navajo
Total_doses_administered,98510
Total_people_one_dose,48797
Total_people_complete,40381
total_pouluation,48797
Male-65 years and older,7302
Male-55-64 years,3573
Male-45-54 years,2692
Male-20-44 years,5772
Male-Less than 20 years,4309
Female-65 years and older,8237
Female-55-64 years,4093
Female-45-54 years,2705
Female-20-44 years,5662
Female-Less than 20 years,4416
"Black or African American, non-Hispanic",204
"Asian or Pacific Islander, non-Hispanic",354
Unknown,2292
Hispanic or Latino,2469
Other Race,6289
"White, non-Hispanic",15952
"American Indian or Alaska Native, non-Hispanic",21237
