Category,Santa Cruz
Total_doses_administered,108365
Total_people_one_dose,56031
Total_people_complete,44402
total_pouluation,56031
Male-65 years and older,4705
Male-55-64 years,3270
Male-45-54 years,3422
Male-20-44 years,9028
Male-Less than 20 years,6386
Female-65 years and older,5694
Female-55-64 years,3573
Female-45-54 years,3703
Female-20-44 years,9432
Female-Less than 20 years,6733
"American Indian or Alaska Native, non-Hispanic",57
"Black or African American, non-Hispanic",58
"Asian or Pacific Islander, non-Hispanic",185
Other Race,3499
Unknown,3819
"White, non-Hispanic",7517
Hispanic or Latino,40896
