Category,Apache
Total_doses_administered,59966
Total_people_one_dose,29111
Total_people_complete,22590
total_pouluation,29111
Male-65 years and older,2777
Male-55-64 years,2022
Male-45-54 years,1616
Male-20-44 years,3848
Male-Less than 20 years,3961
Female-65 years and older,3341
Female-55-64 years,2176
Female-45-54 years,1594
Female-20-44 years,3737
Female-Less than 20 years,4031
"Black or African American, non-Hispanic",59
"Asian or Pacific Islander, non-Hispanic",132
Hispanic or Latino,568
Unknown,1104
Other Race,1139
"White, non-Hispanic",3635
"American Indian or Alaska Native, non-Hispanic",22474
