Category,Arizona
Total_doses_administered,9521871
Total_people_complete,3925636
total_pouluation,7189020
Total_people_one_dose,4613665
Male-65 years and older,564174
Male-55-64 years,328085
Male-45-54 years,296059
Male-20-44 years,734480
Male-Less than 20 years,258262
Female-65 years and older,686804
Female-55-64 years,373449
Female-45-54 years,319118
Female-20-44 years,768091
Female-Less than 20 years,265236
"Black or African American, non-Hispanic",139026
"Asian or Pacific Islander, non-Hispanic",175729
"American Indian or Alaska Native, non-Hispanic",197540
Unknown,420007
Other Race,663478
Hispanic or Latino,854608
"White, non-Hispanic",2163277
