Category,Yuma
Total_doses_administered,181394
Total_people_one_dose,101819
Total_people_complete,86367
Total_doses_ordered,132562
total_pouluation,229957
Male-65 years and older,15284
Male-55-64 years,8054
Male-45-54 years,6859
Male-20-44 years,17921
Male-Less than 20 years,2391
Female-65 years and older,17327
Female-55-64 years,8654
Female-45-54 years,7122
Female-20-44 years,15210
Female-Less than 20 years,2693
"Black or African American, non-Hispanic",0.0054115636570778
"Asian or Pacific Islander, non-Hispanic",0.0060892367829187
"American Indian or Alaska Native, non-Hispanic",0.0135141771182196
Other Race,0.0894626739606557
"White, non-Hispanic",0.1846708374664846
Unknown,0.2974788595448787
Hispanic or Latino,0.403372651469765
