Category,Apache
Total_doses_administered,20064
Total_people_one_dose,11649
Total_people_complete,9187
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1648
Male-55-64 years,862
Male-45-54 years,524
Male-20-44 years,951
Male-Less than 20 years,1698
Female-65 years and older,1695
Female-55-64 years,960
Female-45-54 years,584
Female-20-44 years,912
Female-Less than 20 years,1810
"Asian or Pacific Islander, non-Hispanic",0.011760666151601
"Black or African American, non-Hispanic",0.0159670357970641
Unknown,0.0769164735170401
Other Race,0.0778607605803073
Hispanic or Latino,0.1030131341746073
"White, non-Hispanic",0.2428534638166366
"American Indian or Alaska Native, non-Hispanic",0.4716284659627436
