Category,Santa Cruz
Total_doses_administered,59858
Total_people_one_dose,32960
Total_people_complete,29324
Total_doses_ordered,47340
total_pouluation,53161
Male-65 years and older,3478
Male-55-64 years,2444
Male-45-54 years,2755
Male-20-44 years,5950
Male-Less than 20 years,1769
Female-65 years and older,4204
Female-55-64 years,2501
Female-45-54 years,2644
Female-20-44 years,5381
Female-Less than 20 years,1766
"American Indian or Alaska Native, non-Hispanic",0.0004247572815534
"Black or African American, non-Hispanic",0.0006978155339806
"Asian or Pacific Islander, non-Hispanic",0.0026699029126214
Other Race,0.038379854368932
Unknown,0.0562803398058252
"White, non-Hispanic",0.1351031553398058
Hispanic or Latino,0.7664441747572815
