,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,3799255,1090692,13740,63774,102190,34415,12162,7295,11701,1381752,76637,35621,515176,160707,30449,122973,102211
Total_people_one_dose,2400156,705863,8087,40953,60435,20919,7517,4171,7534,871225,51683,22773,333810,100371,19919,76839,68621
Total_people_complete,1522695,,,,,,,,,,,,,,,,
Total_doses_ordered,3629070,,,,,,,,,,,,,,,,
65 years and older,536630,,,,,,,,,,,,,,,,
55-64 years,253967,,,,,,,,,,,,,,,,
45-54 years,164596,,,,,,,,,,,,,,,,
20-44 years,340902,,,,,,,,,,,,,,,,
Less than 20 years,30182,,,,,,,,,,,,,,,,
65 years and older,51683,,,,,,,,,,,,,,,,
55-64 years,205616,,,,,,,,,,,,,,,,
45-54 years,133488,,,,,,,,,,,,,,,,
20-44 years,274112,,,,,,,,,,,,,,,,
Less than 20 years,24619,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",48019,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",59749,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",80533,,,,,,,,,,,,,,,,
Hispanic or Latino,265712,,,,,,,,,,,,,,,,
"Unknown, non-Hispanic",341009,,,,,,,,,,,,,,,,
"Other Race, non-Hispanic",427838,,,,,,,,,,,,,,,,
"White, non-Hispanic",1177968,,,,,,,,,,,,,,,,
