Category,Greenlee
Total_doses_administered,8146
Total_people_one_dose,4106
Total_people_complete,3644
total_pouluation,4106
Male-65 years and older,500
Male-55-64 years,372
Male-45-54 years,315
Male-20-44 years,763
Male-Less than 20 years,145
Female-65 years and older,503
Female-55-64 years,316
Female-45-54 years,316
Female-20-44 years,725
Female-Less than 20 years,149
"Asian or Pacific Islander, non-Hispanic",41
"Black or African American, non-Hispanic",42
"American Indian or Alaska Native, non-Hispanic",104
Other Race,112
Unknown,309
"White, non-Hispanic",1667
Hispanic or Latino,1831
