Category,Mohave
Total_doses_administered,163045
Total_people_one_dose,85172
Total_people_complete,73645
total_pouluation,85172
Male-65 years and older,19745
Male-55-64 years,7868
Male-45-54 years,4060
Male-20-44 years,7054
Male-Less than 20 years,1457
Female-65 years and older,22173
Female-55-64 years,9223
Female-45-54 years,4622
Female-20-44 years,7131
Female-Less than 20 years,1665
"Black or African American, non-Hispanic",538
"American Indian or Alaska Native, non-Hispanic",647
"Asian or Pacific Islander, non-Hispanic",1205
Hispanic or Latino,6562
Unknown,13209
Other Race,15009
"White, non-Hispanic",48002
