Category,Santa Cruz
Total_doses_administered,92194
Total_people_one_dose,48108
Total_people_complete,42883
total_pouluation,48108
Male-65 years and older,4449
Male-55-64 years,3070
Male-45-54 years,3215
Male-20-44 years,8592
Male-Less than 20 years,3827
Female-65 years and older,5347
Female-55-64 years,3320
Female-45-54 years,3420
Female-20-44 years,8606
Female-Less than 20 years,4196
"American Indian or Alaska Native, non-Hispanic",48
"Black or African American, non-Hispanic",51
"Asian or Pacific Islander, non-Hispanic",176
Unknown,2975
Other Race,3158
"White, non-Hispanic",6823
Hispanic or Latino,34877
