Category,Graham
Total_doses_administered,39128
Total_people_one_dose,19874
Total_people_complete,17998
total_pouluation,19874
Male-65 years and older,2342
Male-55-64 years,1546
Male-45-54 years,1402
Male-20-44 years,3441
Male-Less than 20 years,855
Female-65 years and older,2832
Female-55-64 years,1685
Female-45-54 years,1360
Female-20-44 years,3442
Female-Less than 20 years,957
"Black or African American, non-Hispanic",83
"Asian or Pacific Islander, non-Hispanic",89
Other Race,1506
Hispanic or Latino,3496
Unknown,4198
"American Indian or Alaska Native, non-Hispanic",4763
"White, non-Hispanic",5739
