Category,Arizona
Total_doses_administered,8500804
Total_people_complete,390489
total_pouluation,7189020
Total_people_one_dose,4310967
Male-65 years and older,540863
Male-55-64 years,314826
Male-45-54 years,284197
Male-20-44 years,699815
Male-Less than 20 years,192132
Female-65 years and older,661667
Female-55-64 years,359092
Female-45-54 years,307191
Female-20-44 years,730831
Female-Less than 20 years,200711
"Black or African American, non-Hispanic",122942
"Asian or Pacific Islander, non-Hispanic",155909
"American Indian or Alaska Native, non-Hispanic",164434
Unknown,471597
Other Race,684558
Hispanic or Latino,768020
"White, non-Hispanic",1943507
