Category,Gila
Total_doses_administered,49385
Total_people_one_dose,24969
Total_people_complete,22404
total_pouluation,24969
Male-65 years and older,5620
Male-55-64 years,2179
Male-45-54 years,1224
Male-20-44 years,2306
Male-Less than 20 years,571
Female-65 years and older,6052
Female-55-64 years,2535
Female-45-54 years,1367
Female-20-44 years,2420
Female-Less than 20 years,637
"Black or African American, non-Hispanic",79
"Asian or Pacific Islander, non-Hispanic",199
Hispanic or Latino,1347
"American Indian or Alaska Native, non-Hispanic",2406
Other Race,4430
Unknown,5066
"White, non-Hispanic",11442
