Category,Navajo
Total_doses_administered,86484
Total_people_one_dose,44605
Total_people_complete,38621
total_pouluation,44605
Male-65 years and older,7007
Male-55-64 years,3413
Male-45-54 years,2518
Male-20-44 years,5398
Male-Less than 20 years,3254
Female-65 years and older,7915
Female-55-64 years,3907
Female-45-54 years,2517
Female-20-44 years,5232
Female-Less than 20 years,3409
"Black or African American, non-Hispanic",188
"Asian or Pacific Islander, non-Hispanic",359
Hispanic or Latino,2287
Unknown,2698
Other Race,7669
"White, non-Hispanic",14055
"American Indian or Alaska Native, non-Hispanic",17349
