Category,Pinal
Total_doses_administered,459927
Total_people_one_dose,236951
Total_people_complete,212896
total_pouluation,236951
Male-65 years and older,35424
Male-55-64 years,17753
Male-45-54 years,16195
Male-20-44 years,36197
Male-Less than 20 years,9733
Female-65 years and older,40986
Female-55-64 years,20041
Female-45-54 years,16515
Female-20-44 years,33616
Female-Less than 20 years,9746
"Asian or Pacific Islander, non-Hispanic",4611
"Black or African American, non-Hispanic",8147
"American Indian or Alaska Native, non-Hispanic",8405
Other Race,31021
Unknown,32010
Hispanic or Latino,37431
"White, non-Hispanic",115326
