Category,Maricopa
Total_doses_administered,4993176
Total_people_one_dose,2496000
Total_people_complete,2247626
total_pouluation,2496000
Male-65 years and older,277263
Male-55-64 years,182832
Male-45-54 years,176806
Male-20-44 years,419739
Male-Less than 20 years,112681
Female-65 years and older,347106
Female-55-64 years,206193
Female-45-54 years,192425
Female-20-44 years,449834
Female-Less than 20 years,116698
"American Indian or Alaska Native, non-Hispanic",46011
"Black or African American, non-Hispanic",90926
"Asian or Pacific Islander, non-Hispanic",118807
Unknown,195028
Hispanic or Latino,405254
Other Race,447335
"White, non-Hispanic",1192639
