Category,Santa Cruz
Total_doses_administered,133407
Total_people_one_dose,63577
Total_people_complete,46431
total_pouluation,63577
Male-65 years and older,4950
Male-55-64 years,3527
Male-45-54 years,3731
Male-20-44 years,9847
Male-Less than 20 years,8420
Female-65 years and older,6009
Female-55-64 years,3965
Female-45-54 years,4115
Female-20-44 years,10413
Female-Less than 20 years,8503
"American Indian or Alaska Native, non-Hispanic",58
"Black or African American, non-Hispanic",62
"Asian or Pacific Islander, non-Hispanic",192
Other Race,3692
Unknown,5434
"White, non-Hispanic",8018
Hispanic or Latino,46121
