Category,Coconino
Total_doses_administered,228083
Total_people_one_dose,98928
Total_people_complete,83755
total_pouluation,98928
Male-65 years and older,9700
Male-55-64 years,6537
Male-45-54 years,5987
Male-20-44 years,17904
Male-Less than 20 years,6851
Female-65 years and older,10910
Female-55-64 years,7302
Female-45-54 years,6032
Female-20-44 years,20332
Female-Less than 20 years,7096
"Black or African American, non-Hispanic",846
"Asian or Pacific Islander, non-Hispanic",1813
Hispanic or Latino,7860
Other Race,8988
Unknown,12277
"American Indian or Alaska Native, non-Hispanic",23832
"White, non-Hispanic",43312
