Category,Pinal
Total_doses_administered,581390
Total_people_one_dose,265703
Total_people_complete,226691
total_pouluation,265703
Male-65 years and older,38436
Male-55-64 years,19071
Male-45-54 years,17487
Male-20-44 years,40308
Male-Less than 20 years,14631
Female-65 years and older,44120
Female-55-64 years,21542
Female-45-54 years,17833
Female-20-44 years,37161
Female-Less than 20 years,14374
"Asian or Pacific Islander, non-Hispanic",5518
"Black or African American, non-Hispanic",9888
"American Indian or Alaska Native, non-Hispanic",10637
Unknown,30822
Other Race,32315
Hispanic or Latino,44067
"White, non-Hispanic",132456
