Category,Arizona
Total_doses_administered,10927106
Total_people_complete,4056409
total_pouluation,7189020
Total_people_one_dose,4920110
Male-65 years and older,591648
Male-55-64 years,343136
Male-45-54 years,310514
Male-20-44 years,780296
Male-Less than 20 years,305437
Female-65 years and older,718468
Female-55-64 years,389989
Female-45-54 years,334254
Female-20-44 years,815916
Female-Less than 20 years,310564
"Black or African American, non-Hispanic",151116
"Asian or Pacific Islander, non-Hispanic",189486
"American Indian or Alaska Native, non-Hispanic",215498
Unknown,443591
Other Race,692307
Hispanic or Latino,948748
"White, non-Hispanic",2279364
