Category,Graham
Total_doses_administered,49964
Total_people_one_dose,22328
Total_people_complete,19195
total_pouluation,22328
Male-65 years and older,2458
Male-55-64 years,1625
Male-45-54 years,1493
Male-20-44 years,3753
Male-Less than 20 years,1441
Female-65 years and older,2968
Female-55-64 years,1760
Female-45-54 years,1454
Female-20-44 years,3803
Female-Less than 20 years,1561
"Asian or Pacific Islander, non-Hispanic",90
"Black or African American, non-Hispanic",99
Other Race,1335
Hispanic or Latino,4055
Unknown,4162
"American Indian or Alaska Native, non-Hispanic",5803
"White, non-Hispanic",6784
