Category,Cochise
Total_doses_administered,188667
Total_people_one_dose,87002
Total_people_complete,69671
total_pouluation,87002
Male-65 years and older,11705
Male-55-64 years,5790
Male-45-54 years,4629
Male-20-44 years,12421
Male-Less than 20 years,6568
Female-65 years and older,13680
Female-55-64 years,6886
Female-45-54 years,5178
Female-20-44 years,13147
Female-Less than 20 years,6896
"American Indian or Alaska Native, non-Hispanic",382
"Asian or Pacific Islander, non-Hispanic",1556
"Black or African American, non-Hispanic",1682
Unknown,10552
Other Race,12377
Hispanic or Latino,26083
"White, non-Hispanic",34370
