Category,Apache
Total_doses_administered,70355
Total_people_one_dose,31637
Total_people_complete,23524
total_pouluation,31637
Male-65 years and older,2925
Male-55-64 years,2117
Male-45-54 years,1718
Male-20-44 years,4180
Male-Less than 20 years,4495
Female-65 years and older,3518
Female-55-64 years,2294
Female-45-54 years,1715
Female-20-44 years,4054
Female-Less than 20 years,4611
"Black or African American, non-Hispanic",62
"Asian or Pacific Islander, non-Hispanic",144
Hispanic or Latino,620
Unknown,1191
Other Race,1194
"White, non-Hispanic",3760
"American Indian or Alaska Native, non-Hispanic",24666
