Category,Yavapai
Total_doses_administered,201056
Total_people_one_dose,114645
Total_people_complete,96773
Total_doses_ordered,175366
total_pouluation,232386
Male-65 years and older,24855
Male-55-64 years,8872
Male-45-54 years,5267
Male-20-44 years,10496
Male-Less than 20 years,2259
Female-65 years and older,30957
Female-55-64 years,11299
Female-45-54 years,6137
Female-20-44 years,10664
Female-Less than 20 years,2522
"Black or African American, non-Hispanic",643
"American Indian or Alaska Native, non-Hispanic",1203
"Asian or Pacific Islander, non-Hispanic",1504
Hispanic or Latino,7475
Other Race,17672
Unknown,27906
"White, non-Hispanic",58242
