Category,Coconino
Total_doses_administered,160090
Total_people_one_dose,87431
Total_people_complete,78276
Total_doses_ordered,110439
total_pouluation,147275
Male-65 years and older,8340
Male-55-64 years,6265
Male-45-54 years,5660
Male-20-44 years,17382
Male-Less than 20 years,3496
Female-65 years and older,9425
Female-55-64 years,6962
Female-45-54 years,5807
Female-20-44 years,19859
Female-Less than 20 years,4138
"Black or African American, non-Hispanic",665
"Asian or Pacific Islander, non-Hispanic",1324
Hispanic or Latino,6469
Other Race,10041
Unknown,17210
"American Indian or Alaska Native, non-Hispanic",18254
"White, non-Hispanic",33468
