Category,Santa Cruz
Total_doses_administered,74542
Total_people_one_dose,41294
Total_people_complete,37393
Total_doses_ordered,49512
total_pouluation,53161
Male-65 years and older,3701
Male-55-64 years,2690
Male-45-54 years,3173
Male-20-44 years,8154
Male-Less than 20 years,2864
Female-65 years and older,4479
Female-55-64 years,2723
Female-45-54 years,2993
Female-20-44 years,7548
Female-Less than 20 years,2899
"American Indian or Alaska Native, non-Hispanic",20
"Black or African American, non-Hispanic",38
"Asian or Pacific Islander, non-Hispanic",103
Other Race,2088
Unknown,2401
"White, non-Hispanic",4981
Hispanic or Latino,31663
