Category,Greenlee
Total_doses_administered,9772
Total_people_one_dose,5546
Total_people_complete,4735
Total_doses_ordered,12630
total_pouluation,10375
Male-65 years and older,576
Male-55-64 years,637
Male-45-54 years,567
Male-20-44 years,1235
Male-Less than 20 years,129
Female-65 years and older,546
Female-55-64 years,429
Female-45-54 years,403
Female-20-44 years,905
Female-Less than 20 years,116
"Black or African American, non-Hispanic",50
"Asian or Pacific Islander, non-Hispanic",52
"American Indian or Alaska Native, non-Hispanic",104
Other Race,152
Unknown,527
"White, non-Hispanic",2245
Hispanic or Latino,2416
