Category,Maricopa
Total_doses_administered,3428558
Total_people_one_dose,1939286
Total_people_complete,1692024
Total_doses_ordered,1721227
total_pouluation,4367835
Male-65 years and older,207458
Male-55-64 years,136407
Male-45-54 years,137834
Male-20-44 years,328909
Male-Less than 20 years,92668
Female-65 years and older,264348
Female-55-64 years,156961
Female-45-54 years,151914
Female-20-44 years,355820
Female-Less than 20 years,94950
"American Indian or Alaska Native, non-Hispanic",41966
"Black or African American, non-Hispanic",76110
"Asian or Pacific Islander, non-Hispanic",87046
Unknown,187531
Other Race,297689
Hispanic or Latino,358991
"White, non-Hispanic",889953
