Category,Apache
Total_doses_administered,36002
Total_people_one_dose,20304
Total_people_complete,13419
Total_doses_ordered,18600
total_pouluation,71808
Male-65 years and older,2114
Male-55-64 years,1431
Male-45-54 years,1120
Male-20-44 years,2766
Male-Less than 20 years,2613
Female-65 years and older,2288
Female-55-64 years,1570
Female-45-54 years,1151
Female-20-44 years,2574
Female-Less than 20 years,2667
"Asian or Pacific Islander, non-Hispanic",180
"Black or African American, non-Hispanic",308
Unknown,1082
Other Race,1342
Hispanic or Latino,2025
"White, non-Hispanic",3487
"American Indian or Alaska Native, non-Hispanic",11880
