Category,Navajo
Total_doses_administered,82707
Total_people_one_dose,46499
Total_people_complete,39396
Total_doses_ordered,44665
total_pouluation,112825
Male-65 years and older,7384
Male-55-64 years,3770
Male-45-54 years,2725
Male-20-44 years,5824
Male-Less than 20 years,3277
Female-65 years and older,8105
Female-55-64 years,4059
Female-45-54 years,2705
Female-20-44 years,5191
Female-Less than 20 years,3423
"Black or African American, non-Hispanic",242
"Asian or Pacific Islander, non-Hispanic",431
Hispanic or Latino,2433
Unknown,2497
Other Race,8729
"White, non-Hispanic",15816
"American Indian or Alaska Native, non-Hispanic",16351
