Category,Cochise
Total_doses_administered,128737
Total_people_one_dose,71784
Total_people_complete,63266
Total_doses_ordered,94500
total_pouluation,130808
Male-65 years and older,11070
Male-55-64 years,5344
Male-45-54 years,4005
Male-20-44 years,10582
Male-Less than 20 years,3016
Female-65 years and older,13102
Female-55-64 years,6448
Female-45-54 years,4567
Female-20-44 years,10494
Female-Less than 20 years,3063
"American Indian or Alaska Native, non-Hispanic",348
"Asian or Pacific Islander, non-Hispanic",1356
"Black or African American, non-Hispanic",1374
Unknown,9675
Other Race,10865
Hispanic or Latino,17552
"White, non-Hispanic",30614
