Category,Coconino
Total_doses_administered,216935
Total_people_one_dose,97713
Total_people_complete,83074
total_pouluation,97713
Male-65 years and older,9616
Male-55-64 years,6486
Male-45-54 years,5934
Male-20-44 years,17712
Male-Less than 20 years,6638
Female-65 years and older,10813
Female-55-64 years,7268
Female-45-54 years,5975
Female-20-44 years,20126
Female-Less than 20 years,6870
"Black or African American, non-Hispanic",821
"Asian or Pacific Islander, non-Hispanic",1768
Hispanic or Latino,7660
Other Race,8900
Unknown,12346
"American Indian or Alaska Native, non-Hispanic",23444
"White, non-Hispanic",42774
