Category,La Paz
Total_doses_administered,18849
Total_people_one_dose,9253
Total_people_complete,7617
total_pouluation,9253
Male-65 years and older,2509
Male-55-64 years,649
Male-45-54 years,335
Male-20-44 years,698
Male-Less than 20 years,393
Female-65 years and older,2496
Female-55-64 years,761
Female-45-54 years,386
Female-20-44 years,623
Female-Less than 20 years,384
"Black or African American, non-Hispanic",43
"Asian or Pacific Islander, non-Hispanic",93
"American Indian or Alaska Native, non-Hispanic",552
Other Race,1214
Hispanic or Latino,1385
Unknown,1916
"White, non-Hispanic",4050
