Category,Graham
Total_doses_administered,47180
Total_people_one_dose,21942
Total_people_complete,18995
total_pouluation,21942
Male-65 years and older,2444
Male-55-64 years,1614
Male-45-54 years,1472
Male-20-44 years,3692
Male-Less than 20 years,1363
Female-65 years and older,2948
Female-55-64 years,1750
Female-45-54 years,1443
Female-20-44 years,3740
Female-Less than 20 years,1464
"Asian or Pacific Islander, non-Hispanic",88
"Black or African American, non-Hispanic",97
Other Race,1321
Hispanic or Latino,3961
Unknown,4171
"American Indian or Alaska Native, non-Hispanic",5632
"White, non-Hispanic",6672
