Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,10274207,65522,216935,175904,47180,9936,58946,18849,5928451,195046,106165,548052,1674834,119520,259607,332112
Total_people_complete,4016122,23256,83074,68729,18995,3865,23352,7617,2346700,77948,41523,224455,639157,45650,101044,129548
total_pouluation,7189020,30931,97713,85163,21942,4470,26924,9253,2737791,93172,51237,261473,759405,60683,120820,164866
Total_people_one_dose,4831642,30931,97713,85163,21942,4470,26924,9253,2737791,93172,51237,261473,759405,60683,120820,164866
Male-65 years and older,584645,2884,9616,11563,2444,519,5948,2509,292815,21569,7551,38062,94195,4892,26623,17666
Male-55-64 years,339437,2103,6486,5731,1614,379,2257,649,193163,8493,3676,18873,49572,3447,9402,10948
Male-45-54 years,306500,1700,5934,4550,1472,332,1282,335,187657,4422,2807,17269,43009,3602,5198,9467
Male-20-44 years,767066,4075,17712,12138,3692,807,2519,698,452617,7856,6095,39711,115857,9513,10662,29056
Male-Less than 20 years,290026,4361,6638,6200,1363,235,857,393,162173,1991,4724,13960,48826,7578,3135,13455
Female-65 years and older,710339,3455,10813,13546,2948,521,6333,2496,365921,23637,8507,43693,121179,5920,32320,20223
Female-55-64 years,385752,2258,7268,6801,1750,319,2657,761,217064,9799,4201,21328,59254,3821,11854,11731
Female-45-54 years,329890,1678,5975,5108,1443,332,1419,386,203127,4970,2826,17593,48624,3958,6174,10413
Female-20-44 years,802179,3963,20126,12887,3740,776,2674,623,484267,8065,5982,36538,127555,10042,10881,27380
Female-Less than 20 years,295920,4444,6870,6536,1464,248,920,384,164637,2189,4829,13707,49857,7819,3426,13891
"Black or African American, non-Hispanic",147714,60,821,1654,97,53,97,43,107520,653,215,9650,17486,61,602,870
"Asian or Pacific Islander, non-Hispanic",185551,139,1768,1539,88,48,214,93,139635,1433,381,5387,22975,191,1508,1266
"American Indian or Alaska Native, non-Hispanic",210052,24032,23444,376,5632,125,2861,552,53773,782,22602,10423,16015,58,1480,1208
Unknown,435320,1186,12346,10248,4171,304,4583,1916,184136,11689,2466,30365,65929,4484,18462,30188
Other Race,684608,1177,8900,12238,1321,96,4320,1214,437152,14719,6436,31961,94020,3633,17752,19853
Hispanic or Latino,919076,609,7660,25073,3961,2028,1519,1385,470646,7647,2674,42902,190177,44383,8590,74850
"White, non-Hispanic",2249321,3728,42774,34035,6672,1816,13330,4050,1344929,56249,16463,130785,352803,7873,72426,36631
