Category,Arizona
Total_doses_administered,10274207
Total_people_complete,4016122
total_pouluation,7189020
Total_people_one_dose,4831642
Male-65 years and older,584645
Male-55-64 years,339437
Male-45-54 years,306500
Male-20-44 years,767066
Male-Less than 20 years,290026
Female-65 years and older,710339
Female-55-64 years,385752
Female-45-54 years,329890
Female-20-44 years,802179
Female-Less than 20 years,295920
"Black or African American, non-Hispanic",147714
"Asian or Pacific Islander, non-Hispanic",185551
"American Indian or Alaska Native, non-Hispanic",210052
Unknown,435320
Other Race,684608
Hispanic or Latino,919076
"White, non-Hispanic",2249321
