Category,Navajo
Total_doses_administered,106165
Total_people_one_dose,51237
Total_people_complete,41523
total_pouluation,51237
Male-65 years and older,7551
Male-55-64 years,3676
Male-45-54 years,2807
Male-20-44 years,6095
Male-Less than 20 years,4724
Female-65 years and older,8507
Female-55-64 years,4201
Female-45-54 years,2826
Female-20-44 years,5982
Female-Less than 20 years,4829
"Black or African American, non-Hispanic",215
"Asian or Pacific Islander, non-Hispanic",381
Unknown,2466
Hispanic or Latino,2674
Other Race,6436
"White, non-Hispanic",16463
"American Indian or Alaska Native, non-Hispanic",22602
