Category,Santa Cruz
Total_doses_administered,119520
Total_people_one_dose,60683
Total_people_complete,45650
total_pouluation,60683
Male-65 years and older,4892
Male-55-64 years,3447
Male-45-54 years,3602
Male-20-44 years,9513
Male-Less than 20 years,7578
Female-65 years and older,5920
Female-55-64 years,3821
Female-45-54 years,3958
Female-20-44 years,10042
Female-Less than 20 years,7819
"American Indian or Alaska Native, non-Hispanic",58
"Black or African American, non-Hispanic",61
"Asian or Pacific Islander, non-Hispanic",191
Other Race,3633
Unknown,4484
"White, non-Hispanic",7873
Hispanic or Latino,44383
