Category,Yuma
Total_doses_administered,332112
Total_people_one_dose,164866
Total_people_complete,129548
total_pouluation,164866
Male-65 years and older,17666
Male-55-64 years,10948
Male-45-54 years,9467
Male-20-44 years,29056
Male-Less than 20 years,13455
Female-65 years and older,20223
Female-55-64 years,11731
Female-45-54 years,10413
Female-20-44 years,27380
Female-Less than 20 years,13891
"Black or African American, non-Hispanic",870
"American Indian or Alaska Native, non-Hispanic",1208
"Asian or Pacific Islander, non-Hispanic",1266
Other Race,19853
Unknown,30188
"White, non-Hispanic",36631
Hispanic or Latino,74850
