Category,Gila
Total_doses_administered,58946
Total_people_one_dose,26924
Total_people_complete,23352
total_pouluation,26924
Male-65 years and older,5948
Male-55-64 years,2257
Male-45-54 years,1282
Male-20-44 years,2519
Male-Less than 20 years,857
Female-65 years and older,6333
Female-55-64 years,2657
Female-45-54 years,1419
Female-20-44 years,2674
Female-Less than 20 years,920
"Black or African American, non-Hispanic",97
"Asian or Pacific Islander, non-Hispanic",214
Hispanic or Latino,1519
"American Indian or Alaska Native, non-Hispanic",2861
Other Race,4320
Unknown,4583
"White, non-Hispanic",13330
