Category,Maricopa
Total_doses_administered,5928451
Total_people_one_dose,2737791
Total_people_complete,2346700
total_pouluation,2737791
Male-65 years and older,292815
Male-55-64 years,193163
Male-45-54 years,187657
Male-20-44 years,452617
Male-Less than 20 years,162173
Female-65 years and older,365921
Female-55-64 years,217064
Female-45-54 years,203127
Female-20-44 years,484267
Female-Less than 20 years,164637
"American Indian or Alaska Native, non-Hispanic",53773
"Black or African American, non-Hispanic",107520
"Asian or Pacific Islander, non-Hispanic",139635
Unknown,184136
Other Race,437152
Hispanic or Latino,470646
"White, non-Hispanic",1344929
