Category,Pima
Total_doses_administered,1674834
Total_people_one_dose,759405
Total_people_complete,639157
total_pouluation,759405
Male-65 years and older,94195
Male-55-64 years,49572
Male-45-54 years,43009
Male-20-44 years,115857
Male-Less than 20 years,48826
Female-65 years and older,121179
Female-55-64 years,59254
Female-45-54 years,48624
Female-20-44 years,127555
Female-Less than 20 years,49857
"American Indian or Alaska Native, non-Hispanic",16015
"Black or African American, non-Hispanic",17486
"Asian or Pacific Islander, non-Hispanic",22975
Unknown,65929
Other Race,94020
Hispanic or Latino,190177
"White, non-Hispanic",352803
