Category,Yavapai
Total_doses_administered,283638
Total_people_one_dose,129021
Total_people_complete,109643
total_pouluation,129021
Male-65 years and older,28558
Male-55-64 years,10070
Male-45-54 years,5522
Male-20-44 years,11355
Male-Less than 20 years,3343
Female-65 years and older,34471
Female-55-64 years,12681
Female-45-54 years,6574
Female-20-44 years,11524
Female-Less than 20 years,3695
"Black or African American, non-Hispanic",650
"American Indian or Alaska Native, non-Hispanic",1555
"Asian or Pacific Islander, non-Hispanic",1666
Hispanic or Latino,9307
Unknown,19033
Other Race,19055
"White, non-Hispanic",77755
