Category,Arizona
Total_doses_administered,10823345
Total_people_complete,4234507
total_pouluation,7189020
Total_people_one_dose,4968900
Male-65 years and older,593316
Male-55-64 years,344320
Male-45-54 years,312557
Male-20-44 years,789070
Male-Less than 20 years,317024
Female-65 years and older,719655
Female-55-64 years,390964
Female-45-54 years,336389
Female-20-44 years,824315
Female-Less than 20 years,321407
"Black or African American, non-Hispanic",153193
"Asian or Pacific Islander, non-Hispanic",191021
"American Indian or Alaska Native, non-Hispanic",223954
Unknown,446560
Other Race,693374
Hispanic or Latino,972117
"White, non-Hispanic",2288681
