Category,Apache
Total_doses_administered,78346
Total_people_one_dose,34922
Total_people_complete,29950
total_pouluation,34922
Male-65 years and older,3129
Male-55-64 years,2339
Male-45-54 years,1910
Male-20-44 years,4830
Male-Less than 20 years,4775
Female-65 years and older,3798
Female-55-64 years,2548
Female-45-54 years,1961
Female-20-44 years,4738
Female-Less than 20 years,4883
"Black or African American, non-Hispanic",71
"Asian or Pacific Islander, non-Hispanic",165
Hispanic or Latino,659
Unknown,1227
Other Race,1247
"White, non-Hispanic",3931
"American Indian or Alaska Native, non-Hispanic",27622
