Category,Cochise
Total_doses_administered,191890
Total_people_one_dose,91409
Total_people_complete,75629
total_pouluation,91409
Male-65 years and older,12057
Male-55-64 years,6026
Male-45-54 years,4827
Male-20-44 years,13056
Male-Less than 20 years,7295
Female-65 years and older,14080
Female-55-64 years,7117
Female-45-54 years,5429
Female-20-44 years,13834
Female-Less than 20 years,7583
"American Indian or Alaska Native, non-Hispanic",393
"Asian or Pacific Islander, non-Hispanic",1598
"Black or African American, non-Hispanic",1715
Unknown,11091
Other Race,12735
Hispanic or Latino,28591
"White, non-Hispanic",35286
