Category,Mohave
Total_doses_administered,203064
Total_people_one_dose,95005
Total_people_complete,80317
total_pouluation,95005
Male-65 years and older,21942
Male-55-64 years,8577
Male-45-54 years,4513
Male-20-44 years,8087
Male-Less than 20 years,2091
Female-65 years and older,23959
Female-55-64 years,9937
Female-45-54 years,5058
Female-20-44 years,8342
Female-Less than 20 years,2318
"Black or African American, non-Hispanic",676
"American Indian or Alaska Native, non-Hispanic",796
"Asian or Pacific Islander, non-Hispanic",1476
Hispanic or Latino,7921
Unknown,11727
Other Race,14873
"White, non-Hispanic",57536
