Category,Yuma
Total_doses_administered,355804
Total_people_one_dose,173713
Total_people_complete,139996
total_pouluation,173713
Male-65 years and older,18123
Male-55-64 years,11301
Male-45-54 years,9843
Male-20-44 years,30780
Male-Less than 20 years,15145
Female-65 years and older,20688
Female-55-64 years,12108
Female-45-54 years,10772
Female-20-44 years,28714
Female-Less than 20 years,15536
"Black or African American, non-Hispanic",910
"American Indian or Alaska Native, non-Hispanic",1266
"Asian or Pacific Islander, non-Hispanic",1285
Other Race,21211
Unknown,30860
"White, non-Hispanic",37843
Hispanic or Latino,80338
