Category,Graham
Total_doses_administered,42534
Total_people_one_dose,19238
Total_people_complete,17106
total_pouluation,19238
Male-65 years and older,1997
Male-55-64 years,1367
Male-45-54 years,1314
Male-20-44 years,3270
Male-Less than 20 years,1309
Female-65 years and older,2477
Female-55-64 years,1511
Female-45-54 years,1246
Female-20-44 years,3308
Female-Less than 20 years,1428
"Asian or Pacific Islander, non-Hispanic",66
"Black or African American, non-Hispanic",83
Other Race,868
Hispanic or Latino,2862
Unknown,3826
"White, non-Hispanic",5676
"American Indian or Alaska Native, non-Hispanic",5857
