Category,Navajo
Total_doses_administered,120328
Total_people_one_dose,55438
Total_people_complete,47052
total_pouluation,55438
Male-65 years and older,7767
Male-55-64 years,3927
Male-45-54 years,3012
Male-20-44 years,6830
Male-Less than 20 years,5420
Female-65 years and older,8806
Female-55-64 years,4439
Female-45-54 years,3043
Female-20-44 years,6694
Female-Less than 20 years,5462
"Black or African American, non-Hispanic",228
"Asian or Pacific Islander, non-Hispanic",418
Unknown,2593
Hispanic or Latino,2817
Other Race,6527
"White, non-Hispanic",16644
"American Indian or Alaska Native, non-Hispanic",26211
