Category,Coconino
Total_doses_administered,214260
Total_people_one_dose,94223
Total_people_complete,83382
total_pouluation,94223
Male-65 years and older,8469
Male-55-64 years,6061
Male-45-54 years,5797
Male-20-44 years,17626
Male-Less than 20 years,6904
Female-65 years and older,9474
Female-55-64 years,6743
Female-45-54 years,5775
Female-20-44 years,20097
Female-Less than 20 years,7099
"Black or African American, non-Hispanic",831
"Asian or Pacific Islander, non-Hispanic",1736
Hispanic or Latino,7674
Other Race,8085
Unknown,11316
"American Indian or Alaska Native, non-Hispanic",24147
"White, non-Hispanic",40434
