Category,Apache
Total_doses_administered,34359
Total_people_one_dose,19202
Total_people_complete,12812
Total_doses_ordered,16900
total_pouluation,71808
Male-65 years and older,1993
Male-55-64 years,1334
Male-45-54 years,1058
Male-20-44 years,2600
Male-Less than 20 years,2559
Female-65 years and older,2101
Female-55-64 years,1462
Female-45-54 years,1061
Female-20-44 years,2386
Female-Less than 20 years,2638
"Asian or Pacific Islander, non-Hispanic",172
"Black or African American, non-Hispanic",293
Unknown,1045
Other Race,1308
Hispanic or Latino,1926
"White, non-Hispanic",3357
"American Indian or Alaska Native, non-Hispanic",11101
