Category,Cochise
Total_doses_administered,125089
Total_people_one_dose,70011
Total_people_complete,61714
Total_doses_ordered,93280
total_pouluation,130808
Male-65 years and older,10883
Male-55-64 years,5276
Male-45-54 years,3893
Male-20-44 years,10165
Male-Less than 20 years,2884
Female-65 years and older,12896
Female-55-64 years,6367
Female-45-54 years,4445
Female-20-44 years,10167
Female-Less than 20 years,2943
"American Indian or Alaska Native, non-Hispanic",335
"Black or African American, non-Hispanic",1330
"Asian or Pacific Islander, non-Hispanic",1332
Unknown,9388
Other Race,10629
Hispanic or Latino,17069
"White, non-Hispanic",29928
